numero_precatorio;numero_processo;beneficiario;cpf_cnpj_beneficiario;valor_original;valor_atualizado;data_requisicao;data_atualizacao;tipo;status;entidade_devedora;id_entidade;regime;ordem_cronologica;observacoes;timestamp_extracao
1998.03464-7;;Não informado;;131089991.20;1129909880.35;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2009.01792-1 (2009.01475-2);;Não informado;;299899.64;1008971.14;;;alimentar;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2009.01793-0 (2009.01475-2);;Não informado;;344869.09;1160264.68;;;alimentar;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2009.01794-8 (2009.01475-2);;Não informado;;354483.35;1192610.54;;;alimentar;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2010.00289-4;;Não informado;;18216728.31;52941092.47;;;alimentar;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.00824-0;;Não informado;;29564.09;52568.15;;;alimentar;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.03027-0;;Não informado;;42391.85;164863.47;;;alimentar;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06156-7;;Não informado;;9855221.15;6639734.42;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06008-0;;Não informado;;63736.04;130333.40;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.05994-5;;Não informado;;42159.75;86444.82;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.05954-6;;Não informado;;61570.83;114886.66;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.05874-4;;Não informado;;135706.04;245575.45;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06011-0;;Não informado;;74595.01;130044.71;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06079-0;;Não informado;;74595.01;130044.71;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06109-5;;Não informado;;74595.01;130044.71;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06041-2;;Não informado;;493684.09;911921.05;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06053-6;;Não informado;;78924.01;164975.95;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06038-2;;Não informado;;60001.08;113489.57;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06104-4;;Não informado;;26728.09;58702.43;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06120-6;;Não informado;;160800.95;289091.19;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06136-2;;Não informado;;84196.06;152522.69;;;comum;cancelado;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06123-0;;Não informado;;152489.01;289630.18;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06202-4;;Não informado;;28737.48;54405.52;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06186-9;;Não informado;;351644.90;1393908.07;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06210-5;;Não informado;;69766.08;135256.89;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06220-2;;Não informado;;76812.34;150156.06;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06247-4;;Não informado;;18057.90;35151.53;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06251-2;;Não informado;;72231.62;140606.19;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06244-0;;Não informado;;9462.31;20063.02;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06257-1;;Não informado;;75189.18;152003.06;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06261-0;;Não informado;;18796.84;37999.91;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06329-2;;Não informado;;22950.97;40268.74;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06263-6;;Não informado;;35863.02;71200.00;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06266-0;;Não informado;;35863.02;69722.41;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06271-7;;Não informado;;24181.00;58041.05;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06411-6;;Não informado;;34702.99;110924.37;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06277-6;;Não informado;;32497.38;60513.43;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06295-4;;Não informado;;35949.55;66764.80;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06292-0;;Não informado;;31740.17;58137.67;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06287-3;;Não informado;;7935.04;14534.41;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06338-1;;Não informado;;93424.38;189593.70;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2020.02056-9;;Não informado;;42577.20;77508.81;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
2019.06332-2;;Não informado;;103335.07;208193.92;;;comum;pendente;Estado do Rio de Janeiro;1;especial;;;2025-11-18
