numero_precatorio;numero_processo;beneficiario;cpf_cnpj_beneficiario;valor_original;valor_atualizado;data_requisicao;data_atualizacao;tipo;status;entidade_devedora;id_entidade;regime;ordem_cronologica;observacoes;timestamp_extracao
2010.00668-7;;Não informado;;10903.72;36166.02;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2011.00540-4;;Não informado;;125218.28;390302.52;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2012.00110-0;;Não informado;;0.00;290163.68;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2012.00531-9;;Não informado;;0.00;61694.29;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2012.00598-0;;Não informado;;0.00;520976.36;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2012.00885-7;;Não informado;;0.00;59877.66;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08377-8;;Não informado;;319791.29;531499.40;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08400-6;;Não informado;;153526.19;209663.15;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.04637-6;;Não informado;;934820.79;1168505.50;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08451-0;;Não informado;;234064.22;362970.59;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08382-4;;Não informado;;84927.08;124626.08;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08435-9;;Não informado;;94868.06;122624.39;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08457-0;;Não informado;;280768.91;408836.79;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.04630-9;;Não informado;;130287.33;155752.51;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08462-6;;Não informado;;148482.20;507077.74;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08464-2;;Não informado;;112500.10;142961.60;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08454-5;;Não informado;;135737.63;157965.83;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08582-7;;Não informado;;189359.04;238470.10;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08493-6;;Não informado;;137503.48;173165.58;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08497-9;;Não informado;;188732.70;506617.70;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08558-4;;Não informado;;217037.24;303453.09;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08559-2;;Não informado;;201820.58;273909.24;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08622-0;;Não informado;;143080.72;180189.30;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08731-5;;Não informado;;119678.22;144374.87;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.06341-6;;Não informado;;143532.14;185526.51;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.06342-4;;Não informado;;277285.99;337530.14;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08568-1;;Não informado;;96269.87;141615.95;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08569-0;;Não informado;;133912.48;261291.14;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
