entidade_grupo;id_entidade_grupo;entidade_devedora;regime;ordem;numero_precatorio;situacao;natureza;orcamento;valor_historico;saldo_atualizado;classe;localizacao;peticoes_a_juntar;ultima_fase;possui_herdeiros;possui_cessao;possui_retificador;timestamp_extracao
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;1º;2016.05896-4;Ativo;Comum;2018;5482.98;13309.26;;;;;;;;2025-12-01 19:45:06.891291
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;2º;2017.00545-7;Ativo;Comum;2018;29962.93;92725.32;;;;;;;;2025-12-01 19:45:06.930854
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;3º;2018.03708-5;Ativo;Alimentícia;2020;29088.31;84625.58;;;;;;;;2025-12-01 19:45:06.968584
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;4º;2018.03817-0;Ativo;Alimentícia;2020;21927.70;47345.06;;;;;;;;2025-12-01 19:45:07.005912
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;5º;2019.00447-4;Ativo;Alimentícia;2020;84063.54;164222.05;;;;;;;;2025-12-01 19:45:07.046012
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;6º;2019.03874-3;Ativo;Alimentícia;2020;29129.07;72866.22;;;;;;;;2025-12-01 19:45:07.082264
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;7º;2019.03722-4;Ativo;Alimentícia;2020;29129.07;23244.15;;;;;;;;2025-12-01 19:45:07.117211
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;8º;2019.03818-2;Ativo;Alimentícia;2020;29129.07;23241.44;;;;;;;;2025-12-01 19:45:07.153511
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;9º;2019.00697-3;Ativo;Comum;2020;131158.67;263594.33;;;;;;;;2025-12-01 19:45:07.192868
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;10º;2019.05011-5;Suspensão Administrativa;Alimentícia;2021;44815.18;80030.98;;;;;;;;2025-12-01 19:45:07.227797
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;11º;2019.05198-7;Ativo;Alimentícia;2021;24864.30;49801.42;;;;;;;;2025-12-01 19:45:11.843723
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;12º;2020.00384-2;Ativo;Alimentícia;2021;108948.87;141334.83;;;;;;;;2025-12-01 19:45:11.882851
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;13º;2020.01690-1;Ativo;Alimentícia;2021;27284.81;5076.07;;;;;;;;2025-12-01 19:45:11.929915
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;14º;2019.05684-9;Ativo;Comum;2021;18344.89;35795.24;;;;;;;;2025-12-01 19:45:11.968841
MUNICÍPIO DE MIRACEMA;18;MUNICÍPIO DE MIRACEMA;especial;15º;2019.05928-7;Ativo;Comum;2021;14854.88;28485.70;;;;;;;;2025-12-01 19:45:12.007605
