entidade_grupo,id_entidade_grupo,entidade_devedora,regime,ordem,numero_precatorio,situacao,natureza,orcamento,valor_historico,saldo_atualizado,classe,localizacao,peticoes_a_juntar,ultima_fase,possui_herdeiros,possui_cessao,possui_retificador,timestamp_extracao
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,191º,2023.09652-3,Ativo,Alimentícia,2025,74669.40,88069.41,,,,,,,,2025-12-01 18:04:38.571875
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,192º,2023.09699-0,Ativo,Alimentícia,2025,360048.77,428215.70,,,,,,,,2025-12-01 18:04:38.598063
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,193º,2023.09781-3,Ativo,Alimentícia,2025,188441.91,224119.03,,,,,,,,2025-12-01 18:04:38.625821
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,194º,2023.09842-9,Ativo,Alimentícia,2025,48658.38,70609.41,,,,,,,,2025-12-01 18:04:38.653813
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,195º,2023.09843-7,Ativo,Alimentícia,2025,99410.29,126165.32,,,,,,,,2025-12-01 18:04:38.683761
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,196º,2023.09816-0,Ativo,Alimentícia,2025,54574.50,67441.85,,,,,,,,2025-12-01 18:04:38.712087
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,197º,2023.09861-5,Ativo,Alimentícia,2025,204765.03,264707.40,,,,,,,,2025-12-01 18:04:38.737777
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,198º,2023.09862-3,Ativo,Alimentícia,2025,70339.19,90152.92,,,,,,,,2025-12-01 18:04:38.761272
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,199º,2023.10284-1,Ativo,Alimentícia,2025,91686.58,115310.48,,,,,,,,2025-12-01 18:04:38.786454
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,200º,2023.09867-4,Ativo,Alimentícia,2025,121704.25,160008.00,,,,,,,,2025-12-01 18:04:38.815107
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,201º,2023.09870-4,Ativo,Alimentícia,2025,481448.24,770457.07,,,,,,,,2025-12-01 18:04:43.391251
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,202º,2023.09887-9,Ativo,Alimentícia,2025,357258.60,465750.57,,,,,,,,2025-12-01 18:04:43.417078
MUNICÍPIO DO RIO DE JANEIRO,2,FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO - FUNPREVI,geral,203º,2023.09908-5,Ativo,Alimentícia,2025,932724.12,1152637.89,,,,,,,,2025-12-01 18:04:43.445048
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,204º,2023.09909-3,Ativo,Alimentícia,2025,178027.54,225941.41,,,,,,,,2025-12-01 18:04:43.471709
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,205º,2023.09914-0,Ativo,Alimentícia,2025,55009.26,74240.04,,,,,,,,2025-12-01 18:04:43.500787
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,206º,2023.09937-9,Ativo,Alimentícia,2025,107955.60,137010.49,,,,,,,,2025-12-01 18:04:43.542638
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,207º,2023.10156-0,Ativo,Alimentícia,2025,761100.40,1015009.63,,,,,,,,2025-12-01 18:04:43.573312
MUNICÍPIO DO RIO DE JANEIRO,2,MUNICÍPIO DO RIO DE JANEIRO,geral,208º,2023.09943-3,Ativo,Alimentícia,2025,87526.55,116726.11,,,,,,,,2025-12-01 18:04:43.611735
MUNICÍPIO DO RIO DE JANEIRO,2,FUNDO ESPECIAL DE PREVIDÊNCIA DO MUNICÍPIO DO RIO DE JANEIRO - FUNPREVI,geral,209º,2023.09948-4,Ativo,Alimentícia,2025,63218.06,88493.72,,,,,,,,2025-12-01 18:04:43.646852
