entidade_grupo;id_entidade_grupo;entidade_devedora;regime;ordem;numero_precatorio;situacao;natureza;orcamento;valor_historico;saldo_atualizado;classe;localizacao;peticoes_a_juntar;ultima_fase;possui_herdeiros;possui_cessao;possui_retificador;timestamp_extracao
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;22385º;2024.06252-5;Ativo;Alimentícia;2025;80840.17;191331.09;;;;;;;;2025-11-26 22:59:56.542723
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;22386º;2024.08172-4;Suspensão Administrativa;Alimentícia;2025;416621.28;354505.53;;;;;;;;2025-11-26 22:59:56.604512
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;22387º;2024.06364-5;Suspensão Especial Secal - Revisão de Valores;Alimentícia;2025;47514.13;61846.34;;;;;;;;2025-11-26 22:59:56.671246
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;22388º;2024.07665-8;Ativo;Alimentícia;2025;274126.01;267869.59;;;;;;;;2025-11-26 22:59:56.726568
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;22389º;2024.08174-0;Suspensão Administrativa;Alimentícia;2025;232008.40;145384.74;;;;;;;;2025-11-26 22:59:56.779463
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;22390º;2024.08175-9;Ativo;Alimentícia;2025;533185.23;515435.24;;;;;;;;2025-11-26 22:59:56.828774
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;22391º;2024.08176-7;Ativo;Alimentícia;2025;533185.23;515435.24;;;;;;;;2025-11-26 22:59:56.877514
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;22392º;2024.07650-0;Ativo;Alimentícia;2025;253580.93;250391.30;;;;;;;;2025-11-26 22:59:56.927026
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;22393º;2024.07823-5;Ativo;Alimentícia;2025;238396.13;210487.73;;;;;;;;2025-11-26 22:59:56.972328
Estado do Rio de Janeiro;1;IPERJ;especial;22394º;2024.08035-3;Ativo;Alimentícia;2025;136438.12;30238.68;;;;;;;;2025-11-26 22:59:57.015237
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;22395º;2024.08177-5;Ativo;Alimentícia;2025;84516.72;206339.19;;;;;;;;2025-11-26 23:00:01.619784
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;22396º;2024.06559-1;Ativo;Alimentícia;2025;84210.95;137192.58;;;;;;;;2025-11-26 23:00:01.679811
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;22397º;2024.06294-0;Ativo;Alimentícia;2025;129850.20;188061.98;;;;;;;;2025-11-26 23:00:01.743170
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;22398º;2024.06501-0;Ativo;Alimentícia;2025;91598.35;140217.76;;;;;;;;2025-11-26 23:00:01.861938
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;22399º;2024.06561-3;Suspensão Especial Secal - Revisão de Valores;Alimentícia;2025;429774.05;1538008.07;;;;;;;;2025-11-26 23:00:01.936755
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;22400º;2024.08190-2;Ativo;Alimentícia;2025;1348020.72;1642241.82;;;;;;;;2025-11-26 23:00:01.989206
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;22401º;2024.08191-0;Ativo;Alimentícia;2025;1348020.72;1642241.82;;;;;;;;2025-11-26 23:00:02.050732
Estado do Rio de Janeiro;1;Estado do Rio de Janeiro;especial;22402º;2024.07667-4;Ativo;Alimentícia;2025;92517.37;42917.39;;;;;;;;2025-11-26 23:00:02.104057
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;22403º;2024.08192-9;Ativo;Alimentícia;2025;33960.47;55908.06;;;;;;;;2025-11-26 23:00:02.159165
Estado do Rio de Janeiro;1;FUNDERJ-FUNDAÇÃO DEPARTAMENTO DE ESTRADAS DE RODAGEM-DER RJ;especial;22404º;2024.08029-9;Ativo;Alimentícia;2025;146116.76;273361.85;;;;;;;;2025-11-26 23:00:02.203964
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;22405º;2024.08193-7;Suspensão Administrativa;Alimentícia;2025;1173136.03;1430469.57;;;;;;;;2025-11-26 23:00:06.803868
Estado do Rio de Janeiro;1;RIO-PREVIDÊNCIA (03.066.219/0001-81);especial;22406º;2024.08275-5;Suspensão Administrativa;Alimentícia;2025;98604.48;133181.55;;;;;;;;2025-11-26 23:00:06.853984
