entidade_grupo;id_entidade_grupo;entidade_devedora;regime;ordem;numero_precatorio;situacao;natureza;orcamento;valor_historico;saldo_atualizado;classe;localizacao;peticoes_a_juntar;ultima_fase;possui_herdeiros;possui_cessao;possui_retificador;timestamp_extracao
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;1º;2015.01159-0;Dispensa de Provisionamento;Comum;2016;21493.01;76247.38;;;;;;;;2025-11-30 22:21:59.953450
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;2º;2015.05160-5;Ativo;Alimentícia;2017;73525.12;64054.98;;;;;;;;2025-11-30 22:21:59.995652
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;3º;2015.05190-7;Ativo;Alimentícia;2017;316390.87;804035.00;;;;;;;;2025-11-30 22:22:00.034095
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;4º;2015.05571-6;Ativo;Alimentícia;2017;63786.31;174052.92;;;;;;;;2025-11-30 22:22:00.073033
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;5º;2015.05573-2;Ativo;Alimentícia;2017;554984.18;1483152.08;;;;;;;;2025-11-30 22:22:00.111652
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;6º;2015.05694-1;Ativo;Alimentícia;2017;12410.29;36757.03;;;;;;;;2025-11-30 22:22:00.153095
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;7º;2016.00111-3;Ativo;Alimentícia;2017;27803.30;17715.26;;;;;;;;2025-11-30 22:22:00.186409
MUNICÍPIO DE PETRÓPOLIS;22;INPAS;especial;8º;2016.00113-0;Ativo;Alimentícia;2017;52866.60;51382.90;;;;;;;;2025-11-30 22:22:00.219885
MUNICÍPIO DE PETRÓPOLIS;22;INPAS;especial;9º;2016.00115-6;Ativo;Alimentícia;2017;247316.97;627976.79;;;;;;;;2025-11-30 22:22:00.257527
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;10º;2016.00117-2;Ativo;Alimentícia;2017;38879.35;24729.80;;;;;;;;2025-11-30 22:22:00.292423
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;1º;2015.01159-0;Dispensa de Provisionamento;Comum;2016;21493.01;76247.38;;;;;;;;2025-11-30 22:22:01.838811
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;2º;2015.05160-5;Ativo;Alimentícia;2017;73525.12;64054.98;;;;;;;;2025-11-30 22:22:01.871787
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;3º;2015.05190-7;Ativo;Alimentícia;2017;316390.87;804035.00;;;;;;;;2025-11-30 22:22:01.904573
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;4º;2015.05571-6;Ativo;Alimentícia;2017;63786.31;174052.92;;;;;;;;2025-11-30 22:22:01.941025
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;5º;2015.05573-2;Ativo;Alimentícia;2017;554984.18;1483152.08;;;;;;;;2025-11-30 22:22:01.980279
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;6º;2015.05694-1;Ativo;Alimentícia;2017;12410.29;36757.03;;;;;;;;2025-11-30 22:22:02.017249
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;7º;2016.00111-3;Ativo;Alimentícia;2017;27803.30;17715.26;;;;;;;;2025-11-30 22:22:02.054298
MUNICÍPIO DE PETRÓPOLIS;22;INPAS;especial;8º;2016.00113-0;Ativo;Alimentícia;2017;52866.60;51382.90;;;;;;;;2025-11-30 22:22:02.092836
MUNICÍPIO DE PETRÓPOLIS;22;INPAS;especial;9º;2016.00115-6;Ativo;Alimentícia;2017;247316.97;627976.79;;;;;;;;2025-11-30 22:22:02.130436
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;10º;2016.00117-2;Ativo;Alimentícia;2017;38879.35;24729.80;;;;;;;;2025-11-30 22:22:02.164858
MUNICÍPIO DE PETRÓPOLIS;22;MUNICÍPIO DE PETRÓPOLIS;especial;1º;2015.01159-0;Dispensa de Provisionamento;Comum;2016;21493.01;76247.38;;;;;;;;2025-11-30 22:22:03.825447
