entidade_grupo;id_entidade_grupo;entidade_devedora;regime;ordem;numero_precatorio;situacao;natureza;orcamento;valor_historico;saldo_atualizado;classe;localizacao;peticoes_a_juntar;ultima_fase;possui_herdeiros;possui_cessao;possui_retificador;timestamp_extracao
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;1º;2010.00668-7;Suspensão Administrativa;Alimentícia;2011;10903.72;36166.02;;;;;;;;2025-11-30 19:03:51.130532
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;2º;2011.00540-4;Suspensão Administrativa;Alimentícia;2012;125218.28;390302.52;;;;;;;;2025-11-30 19:03:51.167438
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;3º;2012.00110-0;Impugnado;Alimentícia;2013;0.00;290163.68;;;;;;;;2025-11-30 19:03:51.205068
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;4º;2012.00531-9;Suspensão Administrativa;Alimentícia;2013;0.00;61694.29;;;;;;;;2025-11-30 19:03:51.241945
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;5º;2012.00598-0;Suspensão Administrativa;Alimentícia;2013;0.00;520976.36;;;;;;;;2025-11-30 19:03:51.279544
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;6º;2012.00885-7;Suspensão Administrativa;Alimentícia;2013;0.00;59877.66;;;;;;;;2025-11-30 19:03:51.314836
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;7º;2024.08377-8;Ativo;Alimentícia;2026;319791.29;531499.40;;;;;;;;2025-11-30 19:03:51.348411
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;8º;2024.08400-6;Ativo;Alimentícia;2026;153526.19;209663.15;;;;;;;;2025-11-30 19:03:51.381220
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;9º;2024.04637-6;Ativo;Alimentícia;2026;934820.79;1168505.50;;;;;;;;2025-11-30 19:03:51.416290
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;10º;2024.08451-0;Suspensão Administrativa;Alimentícia;2026;234064.22;362970.59;;;;;;;;2025-11-30 19:03:51.451040
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;1º;2010.00668-7;Suspensão Administrativa;Alimentícia;2011;10903.72;36166.02;;;;;;;;2025-11-30 19:03:53.000712
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;2º;2011.00540-4;Suspensão Administrativa;Alimentícia;2012;125218.28;390302.52;;;;;;;;2025-11-30 19:03:53.037756
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;3º;2012.00110-0;Impugnado;Alimentícia;2013;0.00;290163.68;;;;;;;;2025-11-30 19:03:53.073481
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;4º;2012.00531-9;Suspensão Administrativa;Alimentícia;2013;0.00;61694.29;;;;;;;;2025-11-30 19:03:53.110738
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;5º;2012.00598-0;Suspensão Administrativa;Alimentícia;2013;0.00;520976.36;;;;;;;;2025-11-30 19:03:53.150594
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;6º;2012.00885-7;Suspensão Administrativa;Alimentícia;2013;0.00;59877.66;;;;;;;;2025-11-30 19:03:53.188906
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;7º;2024.08377-8;Ativo;Alimentícia;2026;319791.29;531499.40;;;;;;;;2025-11-30 19:03:53.227962
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;8º;2024.08400-6;Ativo;Alimentícia;2026;153526.19;209663.15;;;;;;;;2025-11-30 19:03:53.265396
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;9º;2024.04637-6;Ativo;Alimentícia;2026;934820.79;1168505.50;;;;;;;;2025-11-30 19:03:53.301974
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;10º;2024.08451-0;Suspensão Administrativa;Alimentícia;2026;234064.22;362970.59;;;;;;;;2025-11-30 19:03:53.338926
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;1º;2010.00668-7;Suspensão Administrativa;Alimentícia;2011;10903.72;36166.02;;;;;;;;2025-11-30 19:03:54.884484
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;2º;2011.00540-4;Suspensão Administrativa;Alimentícia;2012;125218.28;390302.52;;;;;;;;2025-11-30 19:03:54.921914
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;3º;2012.00110-0;Impugnado;Alimentícia;2013;0.00;290163.68;;;;;;;;2025-11-30 19:03:54.962244
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;4º;2012.00531-9;Suspensão Administrativa;Alimentícia;2013;0.00;61694.29;;;;;;;;2025-11-30 19:03:55.013022
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;5º;2012.00598-0;Suspensão Administrativa;Alimentícia;2013;0.00;520976.36;;;;;;;;2025-11-30 19:03:55.045988
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;6º;2012.00885-7;Suspensão Administrativa;Alimentícia;2013;0.00;59877.66;;;;;;;;2025-11-30 19:03:55.077328
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;7º;2024.08377-8;Ativo;Alimentícia;2026;319791.29;531499.40;;;;;;;;2025-11-30 19:03:55.111063
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;8º;2024.08400-6;Ativo;Alimentícia;2026;153526.19;209663.15;;;;;;;;2025-11-30 19:03:55.142789
INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;geral;9º;2024.04637-6;Ativo;Alimentícia;2026;934820.79;1168505.50;;;;;;;;2025-11-30 19:03:55.173431
