entidade_grupo;id_entidade_grupo;entidade_devedora;regime;ordem;numero_precatorio;situacao;natureza;orcamento;valor_historico;saldo_atualizado;classe;localizacao;peticoes_a_juntar;ultima_fase;possui_herdeiros;possui_cessao;possui_retificador;timestamp_extracao
MUNICÍPIO DE NITERÓI;9;NITERÓI PREV;geral;1º;2024.02335-0;Ativo;Alimentícia;2025;40437.56;49485.93;;;;;;;;2025-12-01 00:46:56.552308
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;2º;2024.03695-8;Ativo;Alimentícia;2025;926253.71;1164911.63;;;;;;;;2025-12-01 00:46:56.594501
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;3º;2024.03696-6;Ativo;Alimentícia;2025;489863.56;616081.47;;;;;;;;2025-12-01 00:46:56.634241
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;4º;2024.03697-4;Ativo;Alimentícia;2025;603606.58;759131.45;;;;;;;;2025-12-01 00:46:56.690125
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;5º;2024.03698-2;Ativo;Alimentícia;2025;446926.74;562081.58;;;;;;;;2025-12-01 00:46:56.744318
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;6º;2024.03136-0;Ativo;Alimentícia;2025;762393.70;958831.55;;;;;;;;2025-12-01 00:46:56.799439
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;7º;2024.03137-9;Ativo;Alimentícia;2025;553464.86;696070.24;;;;;;;;2025-12-01 00:46:56.848940
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;8º;2024.03138-7;Ativo;Alimentícia;2025;419758.17;527912.79;;;;;;;;2025-12-01 00:46:56.884113
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;9º;2024.03139-5;Ativo;Alimentícia;2025;479103.37;602548.82;;;;;;;;2025-12-01 00:46:56.920378
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;10º;2024.03140-9;Ativo;Alimentícia;2025;593542.75;746474.57;;;;;;;;2025-12-01 00:46:56.956687
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;11º;2024.03141-7;Ativo;Alimentícia;2025;515759.75;648650.07;;;;;;;;2025-12-01 00:47:01.029381
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;12º;2024.03142-5;Ativo;Alimentícia;2025;670247.53;842212.48;;;;;;;;2025-12-01 00:47:01.240361
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;13º;2024.03143-3;Ativo;Alimentícia;2025;613194.01;771189.17;;;;;;;;2025-12-01 00:47:01.627528
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;14º;2024.03144-1;Ativo;Alimentícia;2025;504825.33;634898.28;;;;;;;;2025-12-01 00:47:01.965880
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;15º;2024.03145-0;Ativo;Alimentícia;2025;563860.63;709144.58;;;;;;;;2025-12-01 00:47:02.114685
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;16º;2024.03146-8;Ativo;Alimentícia;2025;489603.53;615754.44;;;;;;;;2025-12-01 00:47:02.399416
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;17º;2024.03147-6;Ativo;Alimentícia;2025;1092395.31;1373861.15;;;;;;;;2025-12-01 00:47:02.599412
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;18º;2024.03148-4;Ativo;Alimentícia;2025;492333.01;619187.21;;;;;;;;2025-12-01 00:47:02.761926
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;19º;2024.03149-2;Ativo;Alimentícia;2025;546943.32;687868.37;;;;;;;;2025-12-01 00:47:02.965752
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;20º;2024.03150-6;Ativo;Alimentícia;2025;885761.31;1113985.98;;;;;;;;2025-12-01 00:47:03.084602
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;21º;2024.03151-4;Ativo;Alimentícia;2025;516678.87;649806.00;;;;;;;;2025-12-01 00:47:06.833023
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;22º;2024.03152-2;Ativo;Alimentícia;2025;844500.95;1062094.50;;;;;;;;2025-12-01 00:47:06.958994
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;23º;2024.03153-0;Ativo;Alimentícia;2025;580008.50;729453.10;;;;;;;;2025-12-01 00:47:07.068102
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;24º;2024.03321-5;Ativo;Alimentícia;2025;30757.90;47842.78;;;;;;;;2025-12-01 00:47:07.177124
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;25º;2024.03359-2;Ativo;Alimentícia;2025;630012.72;792341.37;;;;;;;;2025-12-01 00:47:07.290806
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;26º;2024.03607-9;Ativo;Alimentícia;2025;19768.64;31132.51;;;;;;;;2025-12-01 00:47:07.397609
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;27º;2024.03626-5;Ativo;Alimentícia;2025;27659.69;35756.71;;;;;;;;2025-12-01 00:47:07.517141
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;28º;2024.03325-8;Ativo;Alimentícia;2025;28509.33;38711.44;;;;;;;;2025-12-01 00:47:07.619732
MUNICÍPIO DE NITERÓI;9;NITERÓI PREV;geral;29º;2024.03220-0;Ativo;Alimentícia;2025;28509.33;38711.44;;;;;;;;2025-12-01 00:47:07.717831
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;30º;2024.03837-3;Ativo;Alimentícia;2025;486751.46;612167.51;;;;;;;;2025-12-01 00:47:07.774486
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;31º;2024.03838-1;Ativo;Alimentícia;2025;484911.07;609852.93;;;;;;;;2025-12-01 00:47:11.433555
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;32º;2024.03719-9;Ativo;Alimentícia;2025;556871.44;700354.56;;;;;;;;2025-12-01 00:47:11.555168
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;33º;2024.03720-2;Ativo;Alimentícia;2025;95842.88;120537.69;;;;;;;;2025-12-01 00:47:11.659537
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;34º;2024.03842-0;Ativo;Alimentícia;2025;117575.30;147869.68;;;;;;;;2025-12-01 00:47:11.764788
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;35º;2024.03997-3;Suspensão Administrativa;Alimentícia;2025;553464.86;696070.24;;;;;;;;2025-12-01 00:47:11.859432
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;36º;2024.03721-0;Ativo;Alimentícia;2025;287528.59;361613.02;;;;;;;;2025-12-01 00:47:11.957586
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;37º;2024.03722-9;Ativo;Alimentícia;2025;95842.88;120537.69;;;;;;;;2025-12-01 00:47:12.060096
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;38º;2024.03774-1;Ativo;Alimentícia;2025;438698.65;551733.45;;;;;;;;2025-12-01 00:47:12.157295
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;39º;2024.03723-7;Ativo;Alimentícia;2025;95842.88;120537.69;;;;;;;;2025-12-01 00:47:12.246807
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;40º;2024.03504-8;Ativo;Alimentícia;2025;130689.64;152572.74;;;;;;;;2025-12-01 00:47:12.311515
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;41º;2024.03525-0;Ativo;Alimentícia;2025;130689.64;152572.74;;;;;;;;2025-12-01 00:47:15.983195
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;42º;2024.03393-2;Ativo;Alimentícia;2025;22764.38;28891.13;;;;;;;;2025-12-01 00:47:16.101493
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;43º;2024.03374-6;Ativo;Alimentícia;2025;227643.84;288911.33;;;;;;;;2025-12-01 00:47:16.205162
MUNICÍPIO DE NITERÓI;9;NITERÓI PREV;geral;44º;2024.04383-0;Ativo;Alimentícia;2025;78202.25;89501.47;;;;;;;;2025-12-01 00:47:16.331143
MUNICÍPIO DE NITERÓI;9;NITERÓI PREV;geral;45º;2024.04470-5;Ativo;Alimentícia;2025;78202.25;89501.47;;;;;;;;2025-12-01 00:47:16.450222
MUNICÍPIO DE NITERÓI;9;NITERÓI PREV;geral;46º;2024.03999-0;Ativo;Alimentícia;2025;38490.15;51644.57;;;;;;;;2025-12-01 00:47:16.575402
MUNICÍPIO DE NITERÓI;9;NITERÓI PREV;geral;47º;2024.03996-5;Ativo;Alimentícia;2025;770573.37;1033925.10;;;;;;;;2025-12-01 00:47:16.691211
MUNICÍPIO DE NITERÓI;9;NITERÓI PREV;geral;48º;2024.04000-9;Ativo;Alimentícia;2025;38490.15;51644.57;;;;;;;;2025-12-01 00:47:16.815851
MUNICÍPIO DE NITERÓI;9;FUNDAÇÃO MUNICIPAL DE SAÚDE DE NITERÓI;geral;49º;2024.03878-0;Ativo;Alimentícia;2025;94898.82;132014.31;;;;;;;;2025-12-01 00:47:16.914637
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;50º;2024.03761-0;Ativo;Alimentícia;2025;151781.40;432663.74;;;;;;;;2025-12-01 00:47:16.985381
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;51º;2024.04321-0;Suspensão Administrativa;Alimentícia;2025;108556.96;136527.67;;;;;;;;2025-12-01 00:47:20.655027
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;52º;2024.04273-7;Ativo;Alimentícia;2025;234946.12;295482.18;;;;;;;;2025-12-01 00:47:20.738830
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;53º;2024.04544-2;Ativo;Alimentícia;2025;238985.80;300562.72;;;;;;;;2025-12-01 00:47:20.851331
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;54º;2024.04659-7;Ativo;Alimentícia;2025;202134.17;254215.93;;;;;;;;2025-12-01 00:47:20.959378
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;55º;2024.04274-5;Ativo;Alimentícia;2025;64376.94;80964.26;;;;;;;;2025-12-01 00:47:21.078858
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;56º;2024.04275-3;Ativo;Alimentícia;2025;541861.55;681477.23;;;;;;;;2025-12-01 00:47:21.185511
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;57º;2024.04276-1;Ativo;Alimentícia;2025;121280.50;152529.56;;;;;;;;2025-12-01 00:47:21.279418
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;58º;2024.04277-0;Ativo;Alimentícia;2025;47652.49;59930.60;;;;;;;;2025-12-01 00:47:21.385831
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;59º;2024.04278-8;Ativo;Alimentícia;2025;59011.35;74216.17;;;;;;;;2025-12-01 00:47:21.487921
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;60º;2024.04279-6;Ativo;Alimentícia;2025;43011.28;54093.53;;;;;;;;2025-12-01 00:47:21.563726
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;61º;2024.04280-0;Suspensão Administrativa;Alimentícia;2025;60796.54;76461.34;;;;;;;;2025-12-01 00:47:25.281037
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;62º;2024.04485-3;Suspensão Administrativa;Alimentícia;2025;388773.38;488944.47;;;;;;;;2025-12-01 00:47:25.396453
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;63º;2024.04486-1;Ativo;Alimentícia;2025;519277.34;653073.99;;;;;;;;2025-12-01 00:47:25.512983
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;64º;2024.04432-2;Ativo;Alimentícia;2025;181610.14;228403.69;;;;;;;;2025-12-01 00:47:25.622018
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;65º;2024.04434-9;Ativo;Alimentícia;2025;22079.36;27019.87;;;;;;;;2025-12-01 00:47:25.720468
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;66º;2024.04438-1;Suspensão Administrativa;Alimentícia;2025;278816.78;350656.54;;;;;;;;2025-12-01 00:47:25.822921
MUNICÍPIO DE NITERÓI;9;MUNICÍPIO DE NITERÓI;geral;67º;2024.04439-0;Ativo;Alimentícia;2025;58383.89;73427.04;;;;;;;;2025-12-01 00:47:25.922833
